epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.635900,0.540444,1.640277,0.460721,164.55,0.00100000,706.51
2,head,1.146223,0.683771,1.502024,0.488482,164.45,0.00075000,706.51
3,head,1.026980,0.712136,1.507810,0.462296,165.46,0.00025000,706.51
4,fine-tune,0.258605,0.929893,0.549391,0.816302,196.86,0.00010000,5488.43
5,fine-tune,0.063659,0.983684,0.555450,0.805277,194.12,0.00009830,5488.43
6,fine-tune,0.033959,0.990775,0.623779,0.801142,195.00,0.00009330,5488.43
7,fine-tune,0.020954,0.994350,0.524217,0.824966,193.60,0.00008536,5488.43
8,fine-tune,0.018197,0.994869,0.579026,0.830282,198.42,0.00007500,5488.43
9,fine-tune,0.012075,0.996598,0.553064,0.834416,195.94,0.00006294,5488.43
10,fine-tune,0.007816,0.997982,0.577510,0.832250,195.76,0.00005000,5488.43
11,fine-tune,0.007988,0.998213,0.547100,0.844261,195.90,0.00003706,5488.43
12,fine-tune,0.006689,0.998213,0.535158,0.842882,195.56,0.00002500,5488.43
13,fine-tune,0.006268,0.998616,0.485213,0.848789,195.16,0.00001464,5488.43
14,fine-tune,0.005516,0.998674,0.518499,0.842882,194.96,0.00000670,5488.43
15,fine-tune,0.006322,0.998443,0.577940,0.839142,194.95,0.00000170,5488.43
