epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.635900,0.540444,1.640277,0.460721,167.06,0.00100000,706.51
2,head,1.124351,0.686884,1.490272,0.486710,166.29,0.00098907,706.51
3,head,0.960176,0.720726,1.456482,0.465446,167.13,0.00095677,706.51
4,head,0.875213,0.739176,1.467686,0.472928,164.91,0.00090451,706.51
5,head,0.820018,0.755780,1.450459,0.475881,165.92,0.00083457,706.51
6,head,0.789067,0.756760,1.435329,0.490451,166.97,0.00075000,706.51
7,head,0.758117,0.769847,1.432902,0.484544,166.27,0.00065451,706.51
8,head,0.727543,0.775613,1.501232,0.462493,164.55,0.00055226,706.51
9,head,0.721633,0.777457,1.484149,0.478244,166.89,0.00044774,706.51
10,head,0.711011,0.779764,1.453052,0.481591,166.40,0.00034549,706.51
11,head,0.710026,0.777457,1.470611,0.474306,167.20,0.00025000,706.51
12,head,0.704863,0.781551,1.495031,0.452254,169.41,0.00016543,706.51
13,head,0.695877,0.780513,1.444453,0.484347,165.37,0.00009549,706.51
14,head,0.694052,0.788758,1.441471,0.485922,167.14,0.00004323,706.51
15,head,0.700998,0.782877,1.462576,0.483954,166.20,0.00001093,706.51
