epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.701581,0.540098,1.738296,0.414452,168.43,0.00100000,698.89
2,head,1.176747,0.715538,1.599468,0.449892,166.62,0.00075000,698.89
3,head,1.034599,0.741712,1.538919,0.484544,165.74,0.00025000,698.89
4,fine-tune,0.268558,0.932661,0.585321,0.813152,183.60,0.00010000,4861.38
5,fine-tune,0.063308,0.985183,0.533994,0.827131,184.94,0.00009830,4861.38
6,fine-tune,0.035862,0.991813,0.540458,0.826934,185.09,0.00009330,4861.38
7,fine-tune,0.023326,0.993716,0.589577,0.824375,182.86,0.00008536,4861.38
8,fine-tune,0.015227,0.996080,0.514562,0.848986,179.20,0.00007500,4861.38
9,fine-tune,0.012825,0.996829,0.543251,0.833235,182.85,0.00006294,4861.38
10,fine-tune,0.010549,0.997752,0.578431,0.824375,182.92,0.00005000,4861.38
11,fine-tune,0.007917,0.998155,0.539148,0.838157,181.69,0.00003706,4861.38
12,fine-tune,0.007286,0.998097,0.643531,0.816893,184.40,0.00002500,4861.38
13,fine-tune,0.006838,0.998443,0.590381,0.829100,186.12,0.00001464,4861.38
14,fine-tune,0.006894,0.998213,0.591376,0.824966,182.37,0.00000670,4861.38
15,fine-tune,0.005439,0.998905,0.614520,0.823390,181.49,0.00000170,4861.38
