epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.701581,0.540098,1.738296,0.414452,166.19,0.00100000,698.89
2,head,1.148419,0.718824,1.577786,0.454026,164.53,0.00098907,698.89
3,head,0.949618,0.750072,1.485027,0.489663,163.67,0.00095677,698.89
4,head,0.845412,0.767195,1.506106,0.482575,169.30,0.00090451,698.89
5,head,0.789649,0.777688,1.469141,0.494586,165.31,0.00083457,698.89
6,head,0.736199,0.790487,1.448745,0.492814,165.20,0.00075000,698.89
7,head,0.706409,0.797348,1.427565,0.504233,165.57,0.00065451,698.89
8,head,0.693583,0.797982,1.490327,0.486119,166.28,0.00055226,698.89
9,head,0.672631,0.805131,1.445813,0.500295,165.42,0.00044774,698.89
10,head,0.662508,0.806457,1.424064,0.505021,165.65,0.00034549,698.89
11,head,0.653095,0.807610,1.417394,0.512699,165.22,0.00025000,698.89
12,head,0.647449,0.807322,1.544645,0.470762,165.15,0.00016543,698.89
13,head,0.646671,0.807899,1.430349,0.512306,164.26,0.00009549,698.89
14,head,0.639479,0.810205,1.423791,0.505414,165.44,0.00004323,698.89
15,head,0.639497,0.814356,1.463761,0.497736,164.31,0.00001093,698.89
