epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.658872,0.492880,1.676716,0.419177,168.87,0.00100000,487.77
2,head,1.095414,0.705391,1.559413,0.463477,163.68,0.00075000,487.77
3,head,0.964590,0.738311,1.547342,0.458752,167.77,0.00025000,487.77
4,fine-tune,0.122017,0.966907,0.468636,0.843670,169.48,0.00010000,1569.97
5,fine-tune,0.022774,0.994292,0.451831,0.857649,173.55,0.00009830,1569.72
6,fine-tune,0.013938,0.996137,0.489749,0.828903,182.21,0.00009330,1569.97
7,fine-tune,0.007477,0.998155,0.359902,0.897027,173.16,0.00008536,1569.97
8,fine-tune,0.004223,0.999020,0.340348,0.905099,175.73,0.00007500,1569.97
9,fine-tune,0.003646,0.999020,0.417225,0.868675,177.58,0.00006294,1569.97
10,fine-tune,0.002062,0.999539,0.466528,0.865525,171.28,0.00005000,1569.97
11,fine-tune,0.002965,0.999423,0.354816,0.899587,173.97,0.00003706,1569.97
12,fine-tune,0.001469,0.999712,0.337422,0.906871,178.09,0.00002500,1569.97
13,fine-tune,0.001044,0.999885,0.375290,0.893286,177.39,0.00001464,1569.97
14,fine-tune,0.001076,0.999827,0.369969,0.891317,177.64,0.00000670,1569.97
15,fine-tune,0.000976,0.999827,0.383902,0.889348,183.26,0.00000170,1569.97
