epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_seconds,lr,peak_gpu_memory_mb
1,head,1.658872,0.492880,1.676716,0.419177,211.52,0.00100000,487.77
2,head,1.072955,0.707063,1.577321,0.459539,150.77,0.00098907,487.77
3,head,0.901091,0.744653,1.484797,0.481394,151.56,0.00095677,487.77
4,head,0.804881,0.762295,1.529106,0.484150,143.71,0.00090451,487.77
5,head,0.752447,0.781032,1.482112,0.498720,145.28,0.00083457,487.77
6,head,0.715216,0.787893,1.501180,0.504824,145.83,0.00075000,487.77
7,head,0.671814,0.799135,1.531586,0.479819,147.35,0.00065451,487.77
8,head,0.656867,0.804093,1.456636,0.509943,148.20,0.00055226,487.77
9,head,0.637570,0.812453,1.518923,0.502461,151.42,0.00044774,487.77
10,head,0.618097,0.817815,1.517355,0.496948,156.34,0.00034549,487.77
11,head,0.624253,0.815048,1.463483,0.521756,161.09,0.00025000,487.77
12,head,0.610349,0.818449,1.562603,0.492420,173.68,0.00016543,487.77
13,head,0.598660,0.821793,1.585680,0.487498,165.25,0.00009549,487.77
14,head,0.600356,0.823753,1.524640,0.509352,162.30,0.00004323,487.77
15,head,0.589207,0.822831,1.546552,0.493601,161.58,0.00001093,487.77
